arrangement_id,event_id,arrangement_xid,event_xid,arrangement_name,event_name,category,start_at,end_at,location_name,description
124494,335613,,,"Student Recital - Open",,"Student Recital","2026-04-18 19:30:00","2026-04-18 20:30:00","Sullivan Room | Auditorium Building, room 220",
124494,335723,,,"Student Recital - Open",,"Student Recital","2026-04-18 19:30:00","2026-04-18 20:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
115260,305193,,,Orlando,,"CCPA Performance-Theatre","2026-04-18 19:30:00","2026-04-18 21:30:00","Miller Studio Theatre | Auditorium Building, room 980",
124494,336068,,,"Student Recital - Open",,"Student Recital","2026-04-19 12:00:00","2026-04-19 13:00:00","Gage Gallery | Auditorium Building, room 178",
124494,336070,,,"Student Recital - Open",,"Student Recital","2026-04-19 12:00:00","2026-04-19 13:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
115260,305196,,,Orlando,,"CCPA Performance-Theatre","2026-04-19 14:00:00","2026-04-19 16:00:00","Miller Studio Theatre | Auditorium Building, room 980",
124494,336140,,,"Student Recital - Open",,"Student Recital","2026-04-19 14:30:00","2026-04-19 15:30:00","Gage Gallery | Auditorium Building, room 178",
124494,336142,,,"Student Recital - Open",,"Student Recital","2026-04-19 14:30:00","2026-04-19 15:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,335920,,,"Student Recital - Open",,"Student Recital","2026-04-19 17:00:00","2026-04-19 18:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,336204,,,"Student Recital - Open",,"Student Recital","2026-04-19 17:00:00","2026-04-19 18:00:00","Gage Gallery | Auditorium Building, room 178",
116906,299172,,,"New Deal Jazz Ensemble and Large Jazz Ensemble",,"CCPA Performance-Interdisciplinary","2026-04-20 19:00:00","2026-04-20 21:00:00","Jazz Showcase | 806 S. Plymouth Ct, Chicago, IL 60605",
124494,335725,,,"Student Recital - Open",,"Student Recital","2026-04-20 19:30:00","2026-04-20 20:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,335922,,,"Student Recital - Open",,"Student Recital","2026-04-21 17:00:00","2026-04-21 18:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,335615,,,"Student Recital - Open",,"Student Recital","2026-04-21 19:30:00","2026-04-21 20:30:00","Gage Gallery | Auditorium Building, room 178",
124494,335727,,,"Student Recital - Open",,"Student Recital","2026-04-21 19:30:00","2026-04-21 20:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
111755,299180,,,"Woodwind/Percussion Chamber",,"CCPA Performance-Music","2026-04-22 17:00:00","2026-04-22 19:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,335617,,,"Student Recital - Open",,"Student Recital","2026-04-22 19:30:00","2026-04-22 20:30:00","Gage Gallery | Auditorium Building, room 178",
124494,335619,,,"Student Recital - Open",,"Student Recital","2026-04-23 19:30:00","2026-04-23 20:30:00","Gage Gallery | Auditorium Building, room 178",
116940,310905,,,"Dance Composition Collaboration Concert ",,"CCPA Performance-Interdisciplinary","2026-04-23 19:30:00","2026-04-23 21:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,335924,,,"Student Recital - Open",,"Student Recital","2026-04-24 17:00:00","2026-04-24 18:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,335729,,,"Student Recital - Open",,"Student Recital","2026-04-24 19:30:00","2026-04-24 20:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
111754,299174,,,"CCPA Opera",,"CCPA Performance-Music","2026-04-24 19:30:00","2026-04-24 21:30:00",,"Off-site location (TBD)"
115261,305218,,,"Hit the Wall",,"CCPA Performance-Theatre","2026-04-24 19:30:00","2026-04-24 21:30:00","O'Malley Theatre | Auditorium Building, room 773",
124494,336072,,,"Student Recital - Open",,"Student Recital","2026-04-25 12:00:00","2026-04-25 13:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,336144,,,"Student Recital - Open",,"Student Recital","2026-04-25 14:30:00","2026-04-25 15:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,335926,,,"Student Recital - Open",,"Student Recital","2026-04-25 17:00:00","2026-04-25 18:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
